ISO3,country,bii_mean,bii_logit_mean,bii_logit_se,n_langs,log_n_langs
HRV,Croatia,0.8103948831558228,1.4528082683251353,0.0136132968582504,17,2.833213344056216
CUB,Cuba,0.5915975928306579,0.37061191421945094,0.010158504606731207,4,1.3862943611198906
CUW,Curaçao,0.9465183258056641,2.873500598841174,0.005250504990692319,2,0.6931471805599453
CYP,Cyprus,1,4.595119850134589,0,5,1.6094379124341003
CZE,Czechia,0.6157464504241943,0.4716143374243581,0.013225707110519317,13,2.5649493574615367
CIV,Côte d’Ivoire,0.5466055274009705,0.18711263242006076,0.030341718729510345,113,4.727387818712341
DNK,Denmark,0.4503196716308594,-0.199417824836992,0.013992862239307818,10,2.302585092994046
DJI,Djibouti,0.7348174571990966,1.0192264025511883,0.00491821466213235,5,1.6094379124341003
DMA,Dominica,0.9008777856826782,2.207153448774331,0.009234492320430407,2,0.6931471805599453
DOM,Dominican Republic,0.6125613808631897,0.4585690813817712,0.03255000416866716,4,1.3862943611198906
ECU,Ecuador,0.7971959114074707,1.3689795244304037,0.010026241995155196,30,3.4011973816621555
EGY,Egypt,1,4.595119850134589,0,16,2.772588722239781
SLV,El Salvador,0.3681925594806671,-0.5402296019233994,0.022072208052938372,7,1.9459101490553132
GNQ,Equatorial Guinea,0.9113214015960693,2.3325266773084525,0.039695806980239966,12,2.4849066497880004
ERI,Eritrea,0.7528711676597595,1.1141911474062474,0.014307452424474964,15,2.70805020110221
EST,Estonia,0.8657450079917908,1.8711386010619961,0.06976490205732806,12,2.4849066497880004
SWZ,Eswatini,0.6296657919883728,0.5328487703276407,0.061413127580338366,4,1.3862943611198906
ETH,Ethiopia,0.7923163414001465,1.3396790142246404,0.025059780086003607,105,4.653960350157523
FLK,Falkland Islands,0.9505846858024597,2.9568168804862394,6.0606967489453815e-5,1,0
FRO,Faroe Islands,0.5925152063369751,0.37437296842978307,3.559055061102447e-4,3,1.0986122886681098
FJI,Fiji,0.8309616327285767,1.6011226558098823,0.08061138020408455,11,2.3978952727983707
FIN,Finland,0.9593325734138489,3.1611264273252884,0.013104524569113683,21,3.044522437723423
FRA,France,0.6245520234107971,0.5089770195972075,0.011220404828154028,43,3.7612001156935624
GUF,French Guiana,0.9931574583053588,4.978869536446745,0.023815976125571986,14,2.6390573296152584
PYF,French Polynesia,NA,NA,NA,10,2.302585092994046
ATF,French Southern Territories,NA,NA,NA,1,0
GAB,Gabon,0.8362721085548401,1.6324152863797272,0.03506782747203226,47,3.8501476017100584
GMB,Gambia,0.6677948236465454,0.6988093148206177,0.02974053614576075,18,2.8903717578961645
